Discipline,Female,Male,Total
Taekwondo,65,65,130
Tennis,94,97,191
Cycling Road,70,131,201
Canoe Slalom,41,41,82
Canoe Sprint,123,126,249
Badminton,86,87,173
Artistic Gymnastics,98,98,196
Beach Volleyball,48,48,96
Water Polo,122,146,268
3x3 Basketball,32,32,64
Skateboarding,40,40,80
Rowing,257,265,522
Rugby Sevens,146,151,297
Archery,64,64,128
Table Tennis,86,86,172
