Rank,Team_Country,Gold,Silver,Bronze,Total,Rank by Total
72,Argentina,0,1,2,3,60
38,Ecuador,2,1,0,3,60
44,Ukraine,1,6,12,19,16
23,Sweden,3,6,0,9,26
54,Egypt,1,1,4,6,39
86,Syrian Arab Republic,0,0,1,1,77
86,Kuwait,0,0,1,1,77
59,Fiji,1,0,1,2,66
59,Estonia,1,0,1,2,66
27,Islamic Republic of Iran,3,2,2,7,33
7,Netherlands,10,12,14,36,9
68,Dominican Republic,0,3,2,5,42
39,Israel,2,0,2,4,47
50,Slovakia,1,2,1,4,47
31,Slovenia,3,1,1,5,42
77,Saudi Arabia,0,1,0,1,77
3,Japan,27,14,17,58,5
69,Armenia,0,2,2,4,47
45,Belarus,1,3,3,7,33
17,Poland,4,5,5,14,19
36,Uganda,2,1,1,4,47
86,Ghana,0,0,1,1,77
86,Cï¿½te d'Ivoire,0,0,1,1,77
21,Jamaica,4,1,4,9,26
46,Romania,1,3,0,4,47
77,North Macedonia,0,1,0,1,77
63,Morocco,1,0,0,1,77
74,Nigeria,0,1,1,2,66
66,Colombia,0,4,1,5,42
8,France,10,12,11,33,10
32,Uzbekistan,3,0,2,5,42
